dataset,iteration,polarization,edge from,edge to
PagerankAndCommonNeighbors,,,,
Karate,1,0.044024055403380634,34,3
Karate,2,0.04400434624567112,34,2
Karate,3,0.04395501954506297,34,4
Karate,4,0.04383259762998802,34,8
Karate,5,0.04382717456748604,34,1
Karate,6,0.04334324242386996,34,13
Karate,7,0.04285402882413154,34,18
Karate,8,0.04235932284413815,34,22
Karate,9,0.04091543840294993,34,12
Karate,10,0.04067586736985479,34,5
Karate,11,0.04043498157674647,34,11
Karate,12,0.04030319401893709,34,6
Karate,13,0.040171054016804035,34,7
Karate,14,0.03964349966669446,34,17
Karate,15,0.03939661121363942,34,25
Karate,16,0.03914822176969232,34,26
PoliticalBooks,1,0.01280609499490985,12,102
PoliticalBooks,2,0.01276239589246879,12,95
PoliticalBooks,3,0.01275042993806401,12,94
PoliticalBooks,4,0.01273848300515893,12,93
PoliticalBooks,5,0.012694642986533103,12,61
PoliticalBooks,6,0.012668058571522162,12,101
PoliticalBooks,7,0.012665922989579767,12,86
PoliticalBooks,8,0.012621893131549447,12,81
PoliticalBooks,9,0.012604519811605014,12,97
PoliticalBooks,10,0.012587136937870128,12,96
PoliticalBooks,11,0.01258635541795051,12,73
PoliticalBooks,12,0.012583281281085601,12,100
PoliticalBooks,13,0.012556565697738567,12,98
PoliticalBooks,14,0.012555956834337583,12,84
PoliticalBooks,15,0.012538559463007084,12,89
PoliticalBooks,16,0.012537822496114308,12,66
PoliticalBooks,17,0.012511042459178789,12,88
PoliticalBooks,18,0.012507999251818483,12,99
PoliticalBooks,19,0.01249056200330003,12,60
PoliticalBooks,20,0.012473105702196627,12,62
PoliticalBooks,21,0.01244620887850845,12,59
PoliticalBooks,22,0.012401525342644317,12,63
PoliticalBooks,23,0.012400094222186327,12,74
PoliticalBooks,24,0.012373051158991217,12,87
PoliticalBooks,25,0.012364393480453865,12,83
PoliticalBooks,26,0.012363600808763245,12,30
PoliticalBooks,27,0.012354942779633423,12,79
PoliticalBooks,28,0.01234628147378575,12,91
PoliticalBooks,29,0.012319135507470649,12,90
PoliticalBooks,30,0.012318524570185077,12,72
PoliticalBooks,31,0.012273404175567324,12,80
PoliticalBooks,32,0.012189941729451073,12,92
PoliticalBooks,33,0.012188513833043715,12,75
PoliticalBooks,34,0.012176270531781276,12,70
PoliticalBooks,35,0.012169771009381498,12,82
PoliticalBooks,36,0.012168076638539575,12,71
PoliticalBooks,37,0.012140547771288465,12,78
PoliticalBooks,38,0.012136680512641681,12,31
PoliticalBooks,39,0.012109083036470096,12,85
PoliticalBooks,40,0.012091128952841645,12,67
PoliticalBooks,41,0.012084592011543799,12,64
PoliticalBooks,42,0.012038612153732461,12,68
PoliticalBooks,43,0.012026228588250433,12,65
PoliticalBooks,44,0.012026206119294306,12,0
PoliticalBooks,45,0.012026184592989422,12,4
PoliticalBooks,46,0.012026163957334335,12,7
PoliticalBooks,47,0.01202614416386456,12,28
PoliticalBooks,48,0.01202612516736777,12,48
PoliticalBooks,49,0.01202610692562539,12,51
PoliticalBooks,50,0.012026089399177832,12,69
PoliticalBooks,51,0.01202607255111093,12,76
PoliticalBooks,52,0.012026056346861422,12,103
PoliticalBooks,53,0.012026040754039546,12,104
PoliticalBooks,54,0.01197984572391848,12,56
PoliticalBooks,55,0.01195189985040014,12,34
PoliticalBooks,56,0.011923889010922686,12,43
PoliticalBooks,57,0.011895812721103452,12,52
PoliticalBooks,58,0.01186767049240844,12,53
PoliticalBooks,59,0.011839461831969782,12,57
PoliticalBooks,60,0.011752946434281965,12,50
PoliticalBooks,61,0.011705677169498167,12,1
PoliticalBooks,62,0.011658216656393059,12,2
PoliticalBooks,63,0.011645441588854222,12,77
PoliticalBooks,64,0.011636292225039441,12,49
PoliticalBooks,65,0.011607523690710539,12,25
PoliticalBooks,66,0.011588810223857045,12,45
PoliticalBooks,67,0.01157595996470925,12,37
PoliticalBooks,68,0.0114874632027722,12,16
PoliticalBooks,69,0.011439099801953805,12,29
PoliticalBooks,70,0.011409835679355206,12,19
PoliticalBooks,71,0.011380496587994756,12,21
PoliticalBooks,72,0.01136141099731096,12,42
PoliticalBooks,73,0.011348304980885947,12,5
PoliticalBooks,74,0.011335184060921268,12,22
PoliticalBooks,75,0.011328230251680392,12,26
PoliticalBooks,76,0.011321272402247442,12,27
PoliticalBooks,77,0.011315975909637913,12,20
PoliticalBooks,78,0.011310677150603538,12,35
PoliticalBooks,79,0.01130803310497071,12,58
ExtremeExpressedAndCommonNeighbors,,,,
Karate,1,0.04307471088495454,15,10
Karate,2,0.042354644560227285,16,10
Karate,3,0.04162212288944378,19,20
Karate,4,0.040985084153276785,21,10
Karate,5,0.04033798621991931,23,20
Karate,6,0.03973319643622958,27,10
Karate,7,0.0394730458264971,15,3
Karate,8,0.03914438120524374,16,14
Karate,9,0.03884174593959199,19,10
Karate,10,0.038507693526833184,21,20
Karate,11,0.03820001450851664,23,14
Karate,12,0.03793268756708863,25,3
Karate,13,0.037665899671266795,26,3
Karate,14,0.037351287069394376,27,20
Karate,15,0.03705156130393085,29,10
Karate,16,0.03687015806318214,15,14
Karate,17,0.036718753301513925,16,3
Karate,18,0.036568133959711556,19,3
Karate,19,0.03641798614538671,21,3
Karate,20,0.0362518348300159,23,2
Karate,21,0.03595900186817646,25,8
Karate,22,0.03572256793264825,26,8
Karate,23,0.03554574333187205,27,14
Karate,24,0.03533821342309412,28,8
Karate,25,0.03516696093769442,29,14
Karate,26,0.03497578451069275,30,20
Karate,27,0.03421522338617176,31,18
Karate,28,0.03231346955453183,9,12
Karate,29,0.0321503892839086,15,4
Karate,30,0.03200680629469833,16,4
Karate,31,0.031889162198588894,19,2
Karate,32,0.03177108248501271,21,14
Karate,33,0.03099960401410134,23,22
Karate,34,0.0308506655861841,24,8
Karate,35,0.030714155270129245,25,4
Karate,36,0.03058566502708695,26,4
Karate,37,0.030466689211686354,27,2
Karate,38,0.030343074466227984,28,4
Karate,39,0.030232494490278428,29,1
Karate,40,0.030093180123605408,30,10
Karate,41,0.029277521355356675,31,12
Karate,42,0.02887164533599943,9,18
Karate,43,0.028060347213514965,15,13
Karate,44,0.027636601336586034,16,13
Karate,45,0.027206256286592626,19,22
Karate,46,0.027117108556220487,21,2
Karate,47,0.027035647659019876,23,1
Karate,48,0.026942529675007425,24,4
Karate,49,0.026855043582353747,25,2
Karate,50,0.02676920086958421,26,2
Karate,51,0.026493009910483395,27,18
Karate,52,0.026397977859354303,28,14
Karate,53,0.025947097771375743,29,5
Karate,54,0.025743719607169074,30,18
Karate,55,0.025623666416679285,31,20
Karate,56,0.02533499041945904,32,5
Karate,57,0.025249230224772837,9,20
Karate,58,0.025152687927705954,15,8
Karate,59,0.025091578093564812,16,1
Karate,60,0.025020899027968863,19,14
Karate,61,0.02495001974167886,21,4
Karate,62,0.024809857270111677,23,18
Karate,63,0.02474608835761546,24,3
Karate,64,0.024677180777970587,25,14
Karate,65,0.024610178832323353,26,14
Karate,66,0.02433621299019274,27,22
Karate,67,0.024269912031701295,28,2
Karate,68,0.02380605341809426,29,11
Karate,69,0.023739588256428443,30,2
Karate,70,0.02367551914757054,31,1
Karate,71,0.02339060853103375,32,11
Karate,72,0.023341332132865163,9,2
Karate,73,0.02329408465731549,15,1
Karate,74,0.02321818072501051,16,8
Karate,75,0.023171161894930913,19,1
Karate,76,0.02310263459149574,21,8
Karate,77,0.02263269588790478,23,12
Karate,78,0.022582651597162957,24,2
Karate,79,0.022534719578680123,25,1
Karate,80,0.02248703424687931,26,1
Karate,81,0.022439544439675843,27,1
Karate,82,0.022392208156251054,28,1
Karate,83,0.022109025202969344,29,6
Karate,84,0.021918137746455048,30,22
Karate,85,0.021777004929358263,31,22
Karate,86,0.021583181196022466,32,6
Karate,87,0.021482448601820015,9,22
Karate,88,0.02144278916941891,15,2
Karate,89,0.02140368206627365,16,2
Karate,90,0.021355266826990016,19,4
Karate,91,0.02131813420323718,21,1
Karate,92,0.021276462782530463,23,3
Karate,93,0.02123206746812433,24,14
Karate,94,0.020945799164227643,25,13
Karate,95,0.02075692833296202,26,13
Karate,96,0.02071509372821432,27,3
Karate,97,0.020578534785886456,28,13
Karate,98,0.020283044830377774,29,7
Karate,99,0.02024103547315267,30,3
Karate,100,0.020199601868734943,31,3
PoliticalBooks,1,0.012758375880238796,92,77
PoliticalBooks,2,0.012634347913135302,61,16
PoliticalBooks,3,0.01250909026583603,63,50
PoliticalBooks,4,0.012437857610267262,68,52
PoliticalBooks,5,0.01238462556347108,80,77
PoliticalBooks,6,0.012333407494417867,81,77
PoliticalBooks,7,0.01226115423105885,92,19
PoliticalBooks,8,0.012170403440652582,95,16
PoliticalBooks,9,0.01209717663600469,102,16
PoliticalBooks,10,0.012023503866059479,59,50
PoliticalBooks,11,0.011967779814803181,61,15
PoliticalBooks,12,0.011937322229269832,63,58
PoliticalBooks,13,0.011904263382826016,68,77
PoliticalBooks,14,0.011872230758289212,78,77
PoliticalBooks,15,0.011825716486078509,80,19
PoliticalBooks,16,0.011784807192645444,81,19
PoliticalBooks,17,0.011747360333536192,85,49
PoliticalBooks,18,0.011712156535238704,87,49
PoliticalBooks,19,0.01167846031753361,88,49
PoliticalBooks,20,0.011645806622067165,90,49
PoliticalBooks,21,0.011569259895647301,92,55
PoliticalBooks,22,0.011521522545396226,95,15
PoliticalBooks,23,0.011489260303081675,98,49
PoliticalBooks,24,0.011441189166472557,101,16
PoliticalBooks,25,0.011398899933841324,102,15
PoliticalBooks,26,0.011377708770702096,59,58
PoliticalBooks,27,0.011329164316133471,60,50
PoliticalBooks,28,0.011280410955855844,61,55
PoliticalBooks,29,0.011241884953894984,62,50
PoliticalBooks,30,0.011203226468309404,63,52
PoliticalBooks,31,0.011182038228007585,67,58
PoliticalBooks,32,0.011149290912157557,68,22
PoliticalBooks,33,0.011127137767921527,78,49
PoliticalBooks,34,0.01105761078684417,80,56
PoliticalBooks,35,0.011007654770402874,81,56
PoliticalBooks,36,0.010937368282699457,85,2
PoliticalBooks,37,0.010886860529208621,87,57
PoliticalBooks,38,0.010846936810273143,88,57
PoliticalBooks,39,0.010824665137326057,89,49
PoliticalBooks,40,0.010790833343469737,90,57
PoliticalBooks,41,0.010750553019736065,92,56
PoliticalBooks,42,0.010710121204439012,95,55
PoliticalBooks,43,0.01063786903570452,96,1
PoliticalBooks,44,0.010585932403517493,97,1
PoliticalBooks,45,0.010555347357739147,98,57
PoliticalBooks,46,0.010524673431191107,101,15
PoliticalBooks,47,0.010489874152939876,102,55
PoliticalBooks,48,0.010461480372465953,59,52
PoliticalBooks,49,0.010437066997095387,60,52
PoliticalBooks,50,0.010420866857509047,61,10
PoliticalBooks,51,0.010399019359640653,62,52
PoliticalBooks,52,0.010383075454842577,63,9
PoliticalBooks,53,0.010362966865887516,65,52
PoliticalBooks,54,0.01034410268868761,67,52
PoliticalBooks,55,0.010297308900525076,68,25
PoliticalBooks,56,0.010279260324604267,70,77
PoliticalBooks,57,0.010263130374294029,78,58
PoliticalBooks,58,0.010215965702686918,80,43
PoliticalBooks,59,0.01018011120517706,81,1
PoliticalBooks,60,0.010150850998253585,85,5
PoliticalBooks,61,0.010130281454691865,87,20
PoliticalBooks,62,0.010110983162972119,88,20
PoliticalBooks,63,0.010088464605783987,89,57
PoliticalBooks,64,0.010070041724357786,90,20
PoliticalBooks,65,0.010033665792799898,92,43
PoliticalBooks,66,0.010003977263097766,93,16
PoliticalBooks,67,0.009978444618223045,94,16
PoliticalBooks,68,0.00996182760630386,95,10
PoliticalBooks,69,0.009936186651632761,96,5
PoliticalBooks,70,0.009913271042210825,97,5
PoliticalBooks,71,0.009895243945775184,98,20
PoliticalBooks,72,0.00986943000708591,101,55
PoliticalBooks,73,0.009852893580950442,102,10
PoliticalBooks,74,0.009840633071591184,59,9
PoliticalBooks,75,0.00982835726771539,60,58
PoliticalBooks,76,0.009806685810181456,61,19
PoliticalBooks,77,0.009794581626845277,62,58
PoliticalBooks,78,0.009775666263972945,63,14
PoliticalBooks,79,0.009753877736692168,65,22
PoliticalBooks,80,0.009734883284456104,67,22
PoliticalBooks,81,0.00971779105578547,68,14
PoliticalBooks,82,0.009705751967357694,70,58
PoliticalBooks,83,0.009679432688450037,78,50
PoliticalBooks,84,0.00966535106655174,79,77
PoliticalBooks,85,0.00963184324158061,80,42
PoliticalBooks,86,0.00961456783596139,81,5
PoliticalBooks,87,0.009600955100851068,83,77
PoliticalBooks,88,0.00958500918615016,85,14
PoliticalBooks,89,0.009538930513254343,87,53
PoliticalBooks,90,0.009504977029292809,88,53
PoliticalBooks,91,0.009491207115200826,89,20
PoliticalBooks,92,0.009464291226605727,90,53
PoliticalBooks,93,0.009450904245704323,91,49
PoliticalBooks,94,0.009423873247229047,92,42
PoliticalBooks,95,0.009404212281710948,93,15
PoliticalBooks,96,0.00938651794231515,94,15
PoliticalBooks,97,0.009366778567952162,95,19
PoliticalBooks,98,0.00931962096756943,96,2
PoliticalBooks,99,0.00928486553321312,97,2
PoliticalBooks,100,0.009261922476873219,98,53
ExtremeNeighborsAndCommonNeighbors,,,,
Karate,1,0.044024055403380634,34,3
Karate,2,0.04400434624567112,34,2
Karate,3,0.04395501954506297,34,4
Karate,4,0.04383259762998802,34,8
Karate,5,0.04382717456748604,34,1
Karate,6,0.04334324242386996,34,13
Karate,7,0.04285402882413154,34,18
Karate,8,0.04235932284413815,34,22
Karate,9,0.04091543840294993,34,12
Karate,10,0.04067586736985479,34,5
Karate,11,0.04043498157674647,34,11
Karate,12,0.04030319401893709,34,6
Karate,13,0.040171054016804035,34,7
Karate,14,0.03964349966669446,34,17
Karate,15,0.03939661121363942,34,25
Karate,16,0.03914822176969232,34,26
PoliticalBooks,1,0.01280609499490985,8,102
PoliticalBooks,2,0.01276239589246879,8,95
PoliticalBooks,3,0.01275042993806401,8,94
PoliticalBooks,4,0.01273848300515893,8,93
PoliticalBooks,5,0.012694642986533103,8,61
PoliticalBooks,6,0.012668058571522162,8,101
PoliticalBooks,7,0.012665922989579767,8,86
PoliticalBooks,8,0.012621893131549447,8,81
PoliticalBooks,9,0.012604519811605014,8,97
PoliticalBooks,10,0.012587136937870128,8,96
PoliticalBooks,11,0.01258635541795051,8,73
PoliticalBooks,12,0.012583281281085601,8,100
PoliticalBooks,13,0.012556565697738567,8,98
PoliticalBooks,14,0.012555956834337583,8,84
PoliticalBooks,15,0.012538559463007084,8,89
PoliticalBooks,16,0.012537822496114308,8,66
PoliticalBooks,17,0.012511042459178789,8,88
PoliticalBooks,18,0.012507999251818483,8,99
PoliticalBooks,19,0.01249056200330003,8,60
PoliticalBooks,20,0.012473105702196627,8,62
PoliticalBooks,21,0.01244620887850845,8,59
PoliticalBooks,22,0.012401525342644317,8,63
PoliticalBooks,23,0.012400094222186327,8,74
PoliticalBooks,24,0.012373051158991217,8,87
PoliticalBooks,25,0.012364393480453865,8,83
PoliticalBooks,26,0.012363600808763245,8,30
PoliticalBooks,27,0.012354942779633423,8,79
PoliticalBooks,28,0.01234628147378575,8,91
PoliticalBooks,29,0.012319135507470649,8,90
PoliticalBooks,30,0.012318524570185074,8,72
PoliticalBooks,31,0.012273404175567324,8,80
PoliticalBooks,32,0.012189941729451073,8,92
PoliticalBooks,33,0.012188513833043715,8,75
PoliticalBooks,34,0.012176270531781276,8,70
PoliticalBooks,35,0.012169771009381498,8,82
PoliticalBooks,36,0.012168076638539575,8,71
PoliticalBooks,37,0.012140547771288465,8,78
PoliticalBooks,38,0.012136680512641681,8,31
PoliticalBooks,39,0.012109083036470096,8,85
PoliticalBooks,40,0.012091128952841645,8,67
PoliticalBooks,41,0.012084592011543799,8,64
PoliticalBooks,42,0.012038612153732461,8,68
PoliticalBooks,43,0.012026228588250433,8,65
PoliticalBooks,44,0.012026206119294306,8,0
PoliticalBooks,45,0.012026184592989422,8,4
PoliticalBooks,46,0.012026163957334335,8,6
PoliticalBooks,47,0.01202614416386456,8,7
PoliticalBooks,48,0.01202612516736777,8,18
PoliticalBooks,49,0.01202610692562539,8,28
PoliticalBooks,50,0.012026089399177832,8,48
PoliticalBooks,51,0.01202607255111093,8,51
PoliticalBooks,52,0.012026056346861422,8,69
PoliticalBooks,53,0.012026040754039546,8,76
PoliticalBooks,54,0.012026025742267058,8,103
PoliticalBooks,55,0.012026011283029185,8,104
PoliticalBooks,56,0.011998173464755093,8,19
PoliticalBooks,57,0.01197027141050349,8,34
PoliticalBooks,58,0.011942304646169953,8,15
PoliticalBooks,59,0.011914272693547842,8,57
PoliticalBooks,60,0.011828304495262693,8,50
PoliticalBooks,61,0.011781337587135898,8,1
PoliticalBooks,62,0.011734183096958688,8,2
PoliticalBooks,63,0.011705654422744185,8,17
PoliticalBooks,64,0.011677056420697798,8,36
PoliticalBooks,65,0.011648388563919594,8,52
PoliticalBooks,66,0.01162974085309814,8,54
PoliticalBooks,67,0.01161693587010782,8,38
PoliticalBooks,68,0.011604117070536189,8,77
PoliticalBooks,69,0.011515836994720577,8,16
PoliticalBooks,70,0.01150658652248577,8,49
PoliticalBooks,71,0.011458304409244446,8,29
PoliticalBooks,72,0.011409818255291268,8,55
PoliticalBooks,73,0.011361125437380359,8,56
PoliticalBooks,74,0.01133166101149334,8,25
PoliticalBooks,75,0.01130212001343065,8,53
PoliticalBooks,76,0.011288945886464159,8,5
PoliticalBooks,77,0.011279511104873794,8,39
PoliticalBooks,78,0.011276859545555547,8,58
PoliticalBooks,79,0.011275766266821013,8,47
